stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,99.49,9.63,2.14,0,0,1.07,0,0
21Day,2.68,0,12.05,2.68,0,0,0,6.69,2.68,0,0,0,4.02,0,0,0,17.4,6.69,1.34,4.02,0,0,0,1.34
3Month,0,0.32,3.52,0,3.52,6.08,0.32,0.32,1.6,0,0.32,4.16,1.28,0,0,0.64,0,0,0,0.32,0.64,0,0.32,2.56
22Month,0,0.55,2.73,0,7.11,24.6,0,0.55,1.64,0,0.55,1.09,1.64,0.55,1.09,0.55,0,0,0,0,0,0,0,1.09
