stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.64,3.2,0.96,0.64,0,9.92,1.28,0,4.8,0,0.96,0.96,0.64,0.32,0.32,0,0.64,0.64,0.64,0.32,0.64,0.96
22Month,0,2.73,1.64,0,0,1.64,1.09,15.85,0,0,8.2,0,0.55,1.64,0.55,0,0,0.55,0,0,0,0,0,0
