stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,16.35,0,0,20.43,0,0,0,0,0,0,0,0,0,16.35,89.9,0,0,0,32.69,1160.54,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,29.95,57.77,0,14.98,0,0,7.49,1.07,0,9.63
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,10.71,6.69,0,2.68,1.34,0,0,0,1.34,0
3Month,0,0.32,0.32,1.92,0,0,3.2,0.64,0.64,0.32,0.96,0.32,0.64,0.64,2.88,0,0.64,0.96,0.64,0.64,0,0,0,2.88,0,0,0,0
22Month,0,0,0.55,1.64,0,0.55,1.09,0.55,7.65,1.09,3.28,0,0,0,2.19,0.55,0,0,0,0,0.55,0,0,16.4,0,0.55,0,0
