stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,2.14,3.21,0,4.28,0,0,0,32.09,17.12,0,0,2.14,0,0,1.07,0,0,0,0
21Day,2.68,0,9.37,0,4.02,4.02,0,2.68,0,1.34,1.34,0,0,0,1.34,0,9.37,0,2.68,0,9.37,13.39,0,1.34,0,2.68,0,0,1.34,0,0,0
3Month,0,0.32,6.08,0,0,0,1.92,0.32,0,4.16,0.64,0.32,1.92,0,1.6,1.6,0.32,0.64,0.32,0.32,0,0.64,0.32,0.32,0,0,1.6,0,0,0.32,0.96,0.64
22Month,0,1.09,3.83,0,0,0,1.09,1.64,1.09,8.2,0.55,0,0.55,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.55,0,0,0,1.09
