stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,4.28,2.14,0,0,0,0
21Day,1.34,0,8.03,0,2.68,0,0,0,0,1.34,0,0,2.68,2.68,0,0,1.34,1.34,2.68,0,1.34,1.34
3Month,0,0.32,5.12,0.32,0,0.96,0.32,1.6,0,0.64,1.92,0,0.32,1.28,0.32,0,0,0,0,0.96,0,2.56
22Month,0,1.64,0,0,0,1.09,1.09,4.37,2.19,1.09,6.01,0.55,0.55,1.09,0,0.55,0.55,0,0,0,0,0
