stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,2.14,2.14,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0,12.48,0,2.56,0.64,0,1.92,1.6,0.32,4.16,0,1.28,0.32,1.6,0.32,0,0,0.32,0.64,0,0,0,2.24,1.28
22Month,0,3.83,4.92,40.45,0.55,7.11,2.73,4.37,27.88,2.19,2.73,26.79,2.19,9.84,2.19,8.75,0,0.55,1.64,0,1.09,0,1.09,0.55,2.73,2.73
