stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Primordial_germ_cell
72hpf,0,1.07,1.07,0,0,0,72.75,0
21Day,0,0,6.69,0,0,0,34.8,0
3Month,0.64,0,0,0.32,0.32,0.32,8.64,0.32
22Month,0,0.55,0,1.09,0,0,2.73,0
