stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,1.34,0,1.34,1.34,0,1.34,0,0,0,0,1.34,0,0,0,2.68,0,0,4.02,0,0,1.34,0,0,0,2.68
3Month,0,0.64,0.32,5.76,0,0.32,0,0.96,3.52,1.28,1.28,0,8,0.32,0.64,1.6,1.6,0.32,0,0,0.32,0,0.32,0.32,0.96,3.52
22Month,0.55,0,0,1.09,0,0,0,0.55,5.47,3.83,1.64,1.09,1.64,0,0,2.73,0,0,0.55,0,0,0,0,0,0,0
