stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,2.68,0,0,0,0,0,0,0,25.43,0,0,0,1.34,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0.32,0,25.28,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,2.73,19.13,32.25,45.37,0,20.23,0,1.09,9.84,33.89,14.76,13358.05,9.29,3.83,50.29,3.83,10.93,25.69,41,160.17,13.67,0.55,2.19,0,5.47,11.48,26.24,1.64,4.92,1.09,2.19,11.48,0.55,13.12
