stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0
3Month,1.28,1.6,0.64,0.32,0.96,0,0,0.32,1.28,0,0,1.6,0.32,2.24
22Month,0,1.64,0,0,0.55,0.55,0,0,0,0,0,0,0,0
