stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,16.35,0,0,0,0,0,8.17,0,20.43,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,5.35,1.07,0,0,1.07,0,3.21,1.07,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,1.34
3Month,0,0,0.64,5.44,0,0.64,0.96,0,0,8.32,2.24,0.32,3.2,0.32,1.92,1.92,2.24,0,0.32,0.64,0,0,0,0,1.92,171.49,0,0.32,6.4,1.6
22Month,0,2.73,0.55,8.75,0,1.09,3.83,2.19,0,38.27,2.73,1.64,5.47,0,0.55,0.55,4.92,3.28,0.55,2.19,0,1.09,323.07,0,0,256.93,0,0,0,1.09
