stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,16.05,3.21,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,1.34,4.02,0,0,0,4.02,1.34,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0,5.76,0,0.32,3.84,0,12.8,0.32,0,2.88,0.32,0.64,0.96,0.96,0,0.64,0.64,0.32,0,0.96,0,0,0.32,18.56,0.96,0,5.76,1.92
22Month,1.09,0.55,2.73,0,0.55,3.28,1.64,15.31,0.55,0.55,2.19,0,0,2.19,0.55,0.55,0,0,0,0,1.64,0.55,0.55,0,0.55,0.55,0,0,0
