stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,2.14,1.07,0,0
21Day,0,0,0,0,2.68,2.68,0,0,0,0
3Month,0,0.32,0.96,0.32,0.32,0,0,0.32,0,0.96
22Month,0,0,1.09,0,0,0,0,0,1.09,0
