stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,12.26,8.17,0,0,16.35,0,4.09,0
72hpf,1.07,0,1.07,1.07,1.07,0,7.49,0,0,0,0
21Day,0,0,0,1.34,1.34,0,4.02,1.34,2.68,0,1.34
22Month,0,1.09,0,0,0,0.55,0,0,0,0,0
