stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
21Day,0,6.69,0,0,0,0,0,0,0,0,0,0,1.34,0,4.02,0,1.34,0,0,0,0,1.34,0,0,2.68
3Month,0.32,9.6,0.32,0.96,0.96,1.6,0.32,0.32,1.6,0.64,2.56,21.12,0,0,0.64,0.64,0.64,0.96,0.32,0.32,0.64,0,0.96,0.64,39.99
22Month,0,6.56,0,0,0.55,2.19,0,1.09,0.55,1.64,1.09,2.19,1.09,0.55,0.55,0,0,0,0,0,0,0.55,0,0,1.09
