stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,44.95,0,0,0,0,44.95,192.06,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,3.21,1.07,2.14,9.63,0,0,0,0,0,0,0,3.21,13.91,1.07,26.74,0,2.14,3.21,0,824.81,86.65,1.07,0,0,24.61,0,0,12.84,1.07,3.21,3.21,0,0,0
21Day,5.35,1.34,6.69,0,6.69,2.68,0,0,0,1.34,0,0,1.34,2.68,0,32.12,0,0,1.34,0,111.1,18.74,0,2.68,0,2.68,4.02,1.34,0,1.34,4.02,0,0,0,0
3Month,0,0.64,5.44,0,0,0,0.96,1.6,8.96,3.52,0.64,1.92,1.28,2.24,2.56,4.48,0.64,0,0.64,0.64,7.04,2.56,2.24,0,0,0,0,59.83,0,0,0.32,0.64,0.64,182.05,3.52
22Month,0,0.55,0.55,0.55,0,0,1.64,0.55,9.29,2.73,1.09,3.28,0.55,0.55,1.09,3.83,0,0,0,0,3.28,0,2.19,3.28,1.09,1.09,0,51.39,0,0,0,0,0.55,3.28,1.64
