stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,4.09,12.26,4.09,0,0,4.09,0,0,4.09,8.17,16.35,20.43,1405.72,0,0,0,0,0,4.09,0,0
72hpf,2.14,1.07,0,4.28,0,0,0,0,3.21,0,2.14,44.93,114.47,1.07,4.28,2.14,0,0,82.37,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,0,0,20.08,29.45,0,1.34,1.34,2.68,0,16.06,1.34,0
3Month,0,1.6,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,1.28,0,0,0.32
22Month,0,1.09,0,0,0,0,3.83,0.55,0.55,0,0.55,0,0.55,0,0,0,0,1.64,0,0,0
