stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,16.35,0,0,0,0,49.04,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,0,2.14,0,0,1.07,5.35,0,3.21,0,0,1.07,0,0
21Day,0,0,2.68,1.34,0,0,0,0,0,5.35,0,4.02,0,1.34,0,2.68,1.34,0,1.34,0,0,0,0
3Month,0,0.32,2.24,0,1.28,0,1.92,0.64,1.28,0.64,0.32,0.96,0.32,0.32,0,0,0.32,0,0.32,8.96,0.32,0.64,1.6
22Month,0,0,0,0,0.55,0.55,6.56,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,20.23,0,0,0
