stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,5.35,0,0,0,0,0,0,0,0,0,0,2.14,1.07,1.07,7.49,0,0,1.07,10.7,5.35,0,0,8.56,0,0,2.14,0,0,3.21,0,0
21Day,0,0,5.35,1.34,1.34,0,0,0,0,0,2.68,1.34,0,0,0,1.34,13.39,0,1.34,0,18.74,8.03,0,16.06,4.02,2.68,0,1.34,1.34,4.02,0,0,1.34
3Month,0.32,0,4.8,0,0,0,0.32,0.64,0,2.88,3.52,0.64,0.96,1.28,4.48,0.64,1.92,0.32,0.32,0.96,0,0,0.32,3.52,0,0,0.64,0,0,0,0,0.64,1.28
22Month,2.73,1.09,7.11,0,0,0.55,0,0.55,4.37,14.76,6.01,0,3.83,0.55,1.64,2.73,4.92,0,0,0,1.09,0.55,0,15.31,0,0.55,0.55,0.55,0,0,0,1.09,0.55
