stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,7.49,1.07,1.07,0,0,1.07,0,0
21Day,1.34,0,1.34,1.34,0,0,0,2.68,0,0,0,1.34,1.34,1.34,0,0,0,1.34,1.34,0,0
3Month,0,0,0.64,0,0.64,0,0,0,0,0.32,0.32,0,0,0.96,0,0,0.64,0,0,0.32,0.32
22Month,0,0.55,1.09,0,2.19,0.55,2.19,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
