stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,1.07,20.33,0,0,0,0,0,0,0,1.07,5.35,0,2.14,0,0,0,0,966.02,18.19,0,0,0,10.7,0,0,2.14,226.8,112.33,0,0,0,0
21Day,0,0,6.69,0,5.35,1.34,0,0,0,1.34,0,0,1.34,1.34,1.34,2.68,0,0,1.34,0,100.39,5.35,0,0,0,1.34,2.68,0,0,167.32,143.22,0,0,0,0
3Month,0.32,0.32,4.16,0,0,0,0.32,7.36,0,8.96,1.6,1.92,4.8,1.6,2.24,0.96,0.32,0,1.6,0.32,1.92,0,0.32,0,0,0,0,16.96,0,1.6,0.32,1.28,0.32,2.88,0.96
22Month,0,0.55,1.09,0,0,0.55,0.55,4.92,0.55,28.97,1.09,3.83,1.09,0.55,1.64,2.73,0.55,1.64,0.55,0,0.55,0,0.55,0.55,0.55,0,0.55,2.73,0.55,85.82,0.55,0,0.55,0,2.19
