stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,8.17,44.95,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,3.21,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,5.35,0,0,1.07,0,18.19,7.49,0,0,2.14,1.07,0,1.07,1.07,0,1.07,0,0,0
21Day,4.02,1.34,0,16.06,2.68,0,5.35,0,0,0,0,2.68,0,4.02,0,1.34,0,0,13.39,0,0,0,0,5.35,10.71,0,0,5.35,4.02,0,1.34,0,1.34,0,0,0,1.34
3Month,0.32,5.76,0.96,12.48,0,0.64,0.32,0.32,2.24,7.68,0,15.36,3.84,2.56,8.32,0.32,4.8,7.04,7.04,1.92,0,2.88,1.92,0.64,0.32,0.64,0.32,0,0.96,14.4,0,0,0,0,2.88,30.72,8
22Month,0,1.64,0.55,4.92,0,1.09,0.55,0,2.19,5.47,2.19,24.6,1.09,0.55,4.37,0,1.09,5.47,5.47,0.55,2.19,1.09,0.55,1.64,0.55,1.09,0.55,0,0,6.56,1.09,0.55,0,0,0.55,0,2.19
