stage,Epithelial_cell,Intestinal_bulb_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0
3Month,0.64,0.64,0.64,0,0.32,8.32,20.16,0.96
