stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,407.59,0,0,0,0,0,0,1.07,0,0,3.21,3.21,5.35,0,1.07,0,0,26.74,9.63,1.07,0,0,0,0,0,0,0,0,0
21Day,21.42,2.68,10.71,50.86,220.86,100.39,0,12.05,5.35,16.06,5.35,18.74,9.37,2.68,36.14,22.76,95.04,1.34,0,21.42,0,2153.7,64.25,10.71,1.34,44.17,62.91,0,29.45,17.4,25.43,24.09,22.76
3Month,0,0,0.32,1.6,11.52,0,0.64,0,0,5.12,1.28,0.32,1.28,0,0.32,0.32,0,0,0,0.32,0.32,9.92,0.32,4.48,0.32,0.32,0,2.88,2.88,0,0,0,0.32
22Month,0,0,0,0.55,0,0,0,0,0,9.29,0,0,0.55,0,0.55,0,0.55,0,0.55,0,0,4.92,0,0,0,0,0,4.37,6.56,0,0,0,0
