stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,212.49,0,57.21,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,147.11,0,0,0,0,49.04,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,13.91,211.82,0,25.67,1.07,6.42,0,1.07,0,0,0,0,0,3.21,0,0,127.31,0,69.54,0,9.63,1.07,24.61,20.33,0,0,0,34.23,0,0,0,0,0,0,0
21Day,1.34,108.42,0,28.11,0,2.68,0,1.34,0,0,0,0,0,12.05,2.68,1.34,21.42,2.68,32.12,0,0,10.71,12.05,9.37,1.34,1.34,0,18.74,0,0,4.02,1.34,0,0,0
3Month,0,80.95,0,9.28,0,0,0.96,0.32,0.32,1.92,0,4.48,1.28,0.32,1.92,0.32,3.84,1.6,5.12,2.24,0,1.92,1.28,0,0.32,0.96,0,0,0.32,1.92,0,0,30.72,0.64,0.64
22Month,0.55,120.81,0.55,10.93,0,0,0.55,0,0,3.28,42.09,91.29,2.19,0.55,1.09,0,4.37,1.09,6.01,0,2.19,1.09,1.09,0,0,1.09,0.55,0,0.55,0,0,0,2.73,0,0
