stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,37.44,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,0,85.58,0,0,0,4.28,1.07,0,1.07,150.84,0,0,0,0,0,0,0,0
21Day,20.08,1.34,0,12.05,6.69,0,0,0,0,0,0,1.34,0,0,2.68,4.02,575.57,0,0,0,8.03,5.35,0,0,172.67,13.39,1.34,1.34,1.34,2.68,0,0,1.34
3Month,0.32,1.6,0.32,5.76,0,0,0,0.64,2.88,8,2.24,0.32,3.52,0.64,5.12,2.56,95.34,0.32,0,1.28,1.6,0,0.64,0.32,27.84,0.64,4.16,0.32,0,0,0,1.28,1.28
22Month,0.55,0,0,1.09,0,0.55,0.55,0,2.73,37.17,1.64,0,2.73,0,0.55,1.64,10.93,0,1.64,0.55,0.55,0,1.09,0,15.31,0,3.83,0,0,0,0.55,0,0.55
