stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,167.54,0,760.07,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,20.43,486.28,0,0,4.09,85.81,645.65,16.35,12.26,0,0,0,0,0,0,0,0
72hpf,31.02,3.21,0,78.09,16.05,20.33,0,0,0,0,0,1.07,0,0,0,6.42,67.4,5.35,84.51,0,3.21,0,3123.79,201.12,0,51.35,1.07,1.07,22.47,6.42,0,0,0,0
21Day,14.72,2.68,6.69,16.06,1.34,8.03,0,1.34,0,1.34,0,4.02,0,4.02,1.34,0,16.06,4.02,12.05,0,1.34,0,828.55,54.88,2.68,16.06,20.08,0,5.35,1.34,2.68,0,0,0
3Month,0,0.32,0.64,4.8,0,0,0,0,0.32,0.32,0,2.88,0.32,0,0.64,0.32,8,0,3.52,7.68,0.32,0.32,22.72,0.64,0.96,0,0.32,14.4,0,0,0,0.64,6.08,0
22Month,0,0.55,0,2.73,0,0,0.55,0.55,0,1.64,1.64,12.57,0.55,0.55,1.09,0,1.64,0.55,3.28,0.55,0.55,0,12.03,0,0,0,0,10.93,3.28,0.55,0,0,0,1.09
