stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,77.64,4.09,0,0,0,0,0,4.09,0,0,0,0,12.26,8.17,16.35,179.8,0,0,0,0,61.3,1230.01,0,0,16.35,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,0,5.35,5.35,0,0,6.42,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,0,0,0,0,0,0,0,0,8.03,0,0,2.68,1.34,2.68,0,0,0,0,4.02,1.34,0,0,1.34,0,0,2.68,0,0,0,9.37
3Month,0.96,1.92,3.84,60.79,0.32,2.56,0.96,9.92,2.88,0,0,33.91,2.88,2.56,73.27,7.68,11.2,4.16,27.84,2.56,0,2.88,2.24,1.92,1.6,2.56,1.28,0,1.28,10.24,0.96,0.64,3.2,3.84,8.32
22Month,0,4.92,2.73,12.57,0,2.19,0.55,1.64,1.64,14.21,0,166.18,2.19,2.73,64.51,1.64,2.73,4.92,8.75,0,7.11,4.92,0.55,0.55,0,0,0.55,0,0,0,0,0,0.55,0,1.09
