stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,2.14,0,2.14,7.49,32.09,6.42,2.14,3.21,0,0,0,0,0,0
21Day,0,0,0,12.05,1.34,0,0,0,0,0,0,0,4.02,0,8.03,20.08,28.11,4.02,0,0,1.34,2.68,4.02,4.02,0,0
3Month,0.32,1.6,0.64,3.2,0,0.64,3.84,0,2.24,0.96,0.64,0.32,0.64,0.96,2.88,0.96,0.96,0,0.32,0,0.64,3.2,0.32,0,80.95,0.96
22Month,0,0,0,0.55,0,0,0,0,0.55,0.55,0,0,0,1.09,0,1.64,0.55,0,0,0,0,2.19,0,0,2.19,0
