stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,0,0,2.14,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0,0,0,0.32,0,0,0,0
22Month,0,2.19,0.55,0,0.55,0,0,0,0.55,0.55
