stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,0,0,0,3.21,68.47,0,3.21,0,0,0,0,5.35,3.21,0,0,0,1.07,0,0,1.07,0,1.07,0,0,0
21Day,0,0,56.22,0,0,0,0,0,4.02,0,2.68,6.69,9.37,24.09,0,2.68,0,0,0,0,4.02,1.34,0,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0,3.84,35.19,0.64,0.64,1.28,1.28,0,451.13,2.56,0,67.19,1.6,5.12,2.88,2.56,0.32,0.32,3.52,1.92,0.32,0,0.96,0.96,0,0.32,6.08,1.28,0.32,0,0.32,1.28,1.92,2.24
22Month,0.55,1.64,14.21,0,1.64,2.19,2.73,0.55,267.31,1.09,1.09,47.56,0,0.55,0.55,1.64,0,1.64,0.55,0,0,0,2.19,0,0.55,0,0,1.09,0.55,0.55,0,0.55,0,0.55
