stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,400.47,28.6,0,8.17,4.09,0,0,0,0,4.09,0,0,0,0,0,0,4.09,85.81,0,0,0,8.17,755.98,0,0,8.17,0,0,0,0,0,4.09,0,0
72hpf,177.59,9.63,0,6.42,7.49,5.35,0,0,0,0,0,0,0,0,1.07,6.42,1.07,66.33,0,1.07,0,236.42,131.58,0,1.07,49.21,1.07,0,46,0,0,5.35,0,0
21Day,388.17,6.69,0,24.09,5.35,10.71,0,0,0,0,1.34,0,14.72,0,4.02,13.39,5.35,167.32,0,0,5.35,179.36,45.51,2.68,12.05,40.16,13.39,4.02,38.82,1.34,5.35,21.42,0,5.35
3Month,0.64,2.24,0,4.48,0,0,0.32,3.52,0.32,0,9.28,1.28,0.32,0.96,0.96,0.96,0.96,29.44,2.24,0,0.64,2.24,0.64,1.28,5.12,0.32,0,10.24,0.64,0,0,0.96,33.59,2.56
22Month,0,4.37,0.55,1.64,0.55,0,0.55,2.19,2.73,0,30.07,1.09,0.55,4.37,0,1.09,1.09,14.21,0,0,0.55,2.19,0.55,7.11,3.83,0.55,0,2.73,8.75,0.55,0,0.55,0,0
