stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,2.14,0,0,1.07,0,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,1.34,0,2.68,0,0,0,0,1.34,2.68,0,1.34,0,0,0,0
3Month,0.32,0.32,3.52,0.64,0.32,0,6.72,1.6,3.84,0.32,1.6,1.28,4.16,0,1.92,1.28,0,0.64,0,0.32,1.28,183.01,0.64,0.32,0.32,0.96,181.73,1.28
22Month,0,0,0,0,0.55,0.55,2.19,0,1.09,0,0,0,1.09,0,0,0.55,0,0.55,0.55,1.09,0,66.69,0,0,0,0,1.09,0
