stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,32.69,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,0,0,0,0,0,0,0,0,0,2.14,2.14,1.07,3.21,0,0,0,17.12,13.91,0,3.21,0,1.07,0,0
21Day,2.68,1.34,0,6.69,0,2.68,1.34,0,0,0,1.34,1.34,0,0,4.02,0,6.69,0,0,0,16.06,5.35,0,2.68,0,0,1.34,1.34
3Month,0,0,0.32,3.84,0.32,0,0,0.32,0.64,0,9.6,0,2.24,0,0,1.28,0,0.32,0,0.64,0.32,0,0,0,0.32,0,0.96,0.64
22Month,0,0.55,0.55,0.55,0,0,0,0,1.09,2.19,25.69,0,5.47,0,0,0.55,2.73,0,0.55,0,0,0,0.55,0,0,0,0,0
