stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,12.26,0,0,0,0,0,0,4.09,0,32.69,4.09,0,0
72hpf,2.14,1.07,0,0,0,0,1.07,0,5.35,8.56,5.35,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,6.69,4.02,2.68,0,1.34,0
22Month,0,1.64,0,0.55,0.55,1.09,0,0.55,0,0,0,0,0,0.55
