stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,2.14,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,9.37,0,0,2.68,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.96,1.6,9.6,0.32,0.96,94.39,0,17.6,6.4,0.32,4.16,2.24,1.28,8.64,5.76,5.44,0,1.28,1.28,1.6,0,0.96,0.32,0.32,1.92,0.32,1.92,1.92,0.32,4.16
22Month,3.28,0,7.11,1.09,0.55,137.76,6.56,68.88,4.92,0.55,6.01,0,0.55,14.76,7.11,0,1.09,0,0,0,0,1.09,1.64,0,0,0,0,0,0,4.92
