stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,163.46,0,0,0,0,0,4.09,8.17,0,0,0,0,0
72hpf,14.98,3.21,0,33.16,12.84,1.07,0,0,1.07,0,1.07,2393.12,3.21,21.4,0,0,1.07,95.21,37.44,0,17.12,1.07,6.42,2.14
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,6.69,0,0,0,1.34,0,0
3Month,0,0.32,0,0.32,0,0,0.96,0.32,0,0.64,0,0.64,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0
22Month,0.55,0,0.55,0,0,0,7.65,0.55,0.55,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0
