stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,4.09,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,2.68,2.68,0,0,0,0,0
3Month,0.32,0.32,0,1.6,1.92,0.32,0,0,0,0,0.32,9.6,0,5.44
22Month,0,0,1.09,3.28,1.64,0,0.55,0,0,0,0,0,0,0
