stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Pancreatic_cell,Radial_glia
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,1.34,0,22.76,0,0
3Month,0.96,0.32,0.32,0.96,0,0.32,0,0.32,0.64,0.64,0.32,48.31,0.32,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0.55,0,13.12,0,0
