stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0,28.6,0,0,0,0,0,0,12.26,16.35,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,10.7,0,1.07,0,0,8.56,6.42,0,2.14,0,0,0,0,0,0,0
21Day,2.68,0,0,12.05,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,4.02,2.68,5.35,0,0,2.68,0,1.34,4.02,0,5.35,0,1.34,0,1.34,0,0,5.35
3Month,0.32,5.12,0.64,28.48,0,0,0.64,0.32,0.32,0,0.96,0.32,0,5.76,0.96,1.6,3.84,0.96,5.76,2.24,8.96,1.6,0,0.96,0.96,0.96,0.32,0.96,0.32,1.28,58.55,0,0,1.28,9.28,25.92
22Month,0,3.28,0.55,1.64,0,0,0.55,0,0,1.09,2.19,0.55,0,3.28,0,0.55,4.92,0,0.55,1.64,0.55,0,0,0.55,0,0,0,0.55,0,0,7.11,0.55,0,0,0,13.12
