stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,2.14,0
21Day,1.34,1.34,4.02,0
3Month,0,0.32,0,0.32
22Month,0.55,0,0,0
