stage,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,0,1.07,0
21Day,0,1.34,0,0,0,1.34
22Month,0.55,0,0.55,0.55,0,0
