stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,8.17,0,8.17,32.69,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,0,0,0,0,0,2.14,0,1.07,0,51.35,16.05,0,5.35,0,4.28,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,0,5.35,0,10.71,2.68,0,4.02,0,2.68,0,1.34,0,0
3Month,0.32,5.76,0.32,0,0,1.6,0.64,0.32,13.44,0,1.92,0,0.32,0,0.32,0,3.84,1.6,0,0,1.28,0.96
22Month,1.09,1.09,0.55,3.28,0.55,10.93,1.09,0.55,3.83,0.55,2.19,0.55,0,0,0,0,4.37,12.03,1.64,0,0,0
