stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,1.07,6.42,0,2.14,20.33,0,19.26,3.21,1.07,1.07,0,0,0
21Day,4.02,0,0,0,0,0,0,2.68,0,0,10.71,0,0,4.02,0,2.68,0
3Month,0.64,0,1.28,0,0.64,0,0,0.32,0,0.64,0,0,0,0,0.64,0,1.6
22Month,0,0,3.83,0.55,2.73,0,0.55,0,0,0,0,0,0,0,0,0,0
