stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.64,1.6,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.64,0.32,14.4,33.59,0.64
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
