stage,Endothelial_cell,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,6.42,1.07
21Day,0,1.34,0,9.37,1.34
22Month,0.55,0,1.09,0,0
