stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,26.74,1.07,0,0,0,0,0,0,0,0,4.28,113.4,0,8.56,0,0,0,0,4.28,1.07,0,0,5.35,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,111.1,1.34,0,6.69,1.34,0,0,0,1.34,1.34,4.02,88.34,2.68,24.09,0,0,0,0,6.69,1.34,0,0,4.02,4.02,0,0,1.34,0,0,0
3Month,0.96,6.4,3.84,259.48,0.32,1.28,16.32,3.2,0,12.48,1.6,0,44.47,2.88,153.9,4.8,16.64,2.88,0.32,1.28,0.32,0.96,0,1.92,0,1.6,2.88,2.24,0.32,0,15.04,3.52,2.24
22Month,0,8.75,2.73,70.52,0,0,12.03,2.73,1.64,25.15,0.55,1.09,20.77,0.55,50.29,3.83,18.59,1.09,1.64,0,0,0.55,0,1.64,0.55,0.55,0,0,7.11,0,4.92,0,0.55
