stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,24.52,0,8.17,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,7.49,11.77,1.07,0,0,0,0,0,1.07,2.14,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,0,4.02,2.68,1.34,0,0,0,0,0,0,0,1.34,4.02,0,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.64,1.28,0.96,13.76,0.32,0,0.32,0.32,2.24,1.92,44.15,1.28,0.64,12.16,19.84,3.84,15.36,2.88,0.64,0,0.96,3.2,1.92,0,0.32,0.64,0,0.96,3.84,0.64,0,2.56,2.24,1.6
22Month,0,3.83,0,10.39,0.55,0,1.09,0,0.55,7.65,266.22,0.55,1.09,7.65,7.11,0.55,9.29,4.37,0,2.19,0.55,0,1.64,0,0.55,0.55,0.55,0,2.73,0,0,0,0.55,2.73
