stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,2.14,0,0
3Month,0,0.32,0.32,0.32,0.32,0.32,0,0.64,0.64
22Month,0.55,0,0.55,0,0,0,0,0,0
