stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,77.64,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07
21Day,1.34,0,1.34,1.34,0,6.69,0,0,4.02,2.68,0,0,1.34,5.35,2.68,0,0,0,0,0,0,0,0,0,10.71
3Month,0.32,1.92,0,0.64,0.32,22.4,0,2.56,28.48,1.92,0.32,0.32,0,7.36,0.96,0,1.6,0,0,0,0.64,5.12,0,10.56,15.68
22Month,3.28,0.55,0,0,1.64,154.7,0.55,7.65,19.13,6.01,3.28,0,0.55,27.33,1.09,0.55,0,0,0.55,0,0,1.09,0.55,0,11.48
