stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,2.14,0,0,0,0,0,0,0,1.07,0,2.14,13.91,1.07,7.49,0,0,0,0,23.54,7.49,2.14,0,0,3.21,0,0,0,1.07,0,0,0
21Day,8.03,0,0,20.08,0,0,2.68,0,0,0,0,0,5.35,0,0,4.02,4.02,10.71,0,0,0,0,5.35,5.35,1.34,0,0,5.35,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,15.68,0,0,0.32,1.28,0.96,0,12.16,1.28,0.32,9.28,0.32,2.56,4.48,1.92,0.64,0,1.6,0.32,1.6,0.32,0.96,0.32,0,0,0.64,2.56,0,0,0.32,1.28,4.48
22Month,0,0,0.55,12.03,0,0.55,1.64,0.55,3.83,2.19,53.03,0.55,1.09,14.21,0,0.55,6.56,6.01,0,8.2,0.55,0,0,0,2.73,0.55,0.55,0.55,0,3.28,0.55,0,0,0,1.09
