stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,4.28,0,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,8.03,0,0,0,0,0,0,0,0,0,0,1.34,12.05,1.34,1.34,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,1.6,40.31,0,0,0.32,9.28,4.48,0.32,22.72,7.68,0.64,45.11,0.64,6.08,8,2.24,0.64,0,2.24,3.2,0.96,0,1.92,0,0,0,4.16,0,0.64,0.64,8
22Month,0,6.01,8.75,36.63,0.55,0,1.09,9.84,23.51,4.92,87.46,12.57,3.28,101.13,1.64,8.75,21.87,9.84,0.55,3.28,3.28,0,2.19,0,3.83,3.28,0.55,0.55,13.12,0.55,0,0,9.84
