stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,4.09,0,0,0,0
72hpf,0,0,0,0,1.07,2.14,2.14,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0.64,0.32,0,0,0,0,0.32,0,0.64,0.32
22Month,0.55,0,2.73,0,0,0,0,0,0,0,0,0
