stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,4.09,196.15,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,0,4.28,0,0,0,0,0,0,0,0,2.14,0,5.35,0,258.89,52.42,2.14,0,8.56,0,0,6.42,0,0,0,0
21Day,2.68,0,0,6.69,0,2.68,1.34,0,0,0,0,0,1.34,1.34,1.34,0,8.03,0,78.97,5.35,0,0,1.34,1.34,1.34,6.69,1.34,0,0,1.34
3Month,0,0,0,3.2,0,0,0,0.32,0.64,2.88,0.32,0,0.32,0,0.64,0.32,1.6,0,1.28,0.32,0.64,0,0,0,2.88,0,0,0.32,0.64,0.32
22Month,0,0.55,1.09,4.92,0.55,0,0,0.55,1.09,31.16,0.55,0.55,1.64,0.55,1.09,0.55,2.73,0.55,1.64,0,2.19,1.09,0.55,0,9.84,0,0,0,0,1.64
