stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,1.07,0,1.07,1.07,1.07
21Day,0,0,0,0,1.34,1.34,0,0
22Month,1.09,2.73,0.55,0,0,0.55,0,0
