stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.76,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,11.77,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,8.03,0,0,0,6.69,0,0,1.34,18.74,0,0,0,0,2.68,0,0,0,1.34,0,0,0,1.34,0,1.34
3Month,0,0.64,0.32,4.48,0,0,0,0.96,47.67,0,7.04,3.52,1.92,1.28,0.32,1.6,37.43,2.24,0,0.64,0.32,0.32,0.32,0,0,1.28,2.24,0,0.32,0,1.6,2.24
22Month,0.55,2.73,0,3.28,0.55,0,2.19,1.09,165.09,1.64,36.63,11.48,8.2,3.28,0.55,0,53.03,2.73,0.55,0.55,0,0,0,0.55,0.55,0,0.55,0.55,0,0,0,1.09
