stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,7.49,0,2.14,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68
3Month,0.32,32.63,0,0.96,2.24,0,3.52,1.6,0,3.52,1.6,12.48,1.92,1.28,0.32,0.96,0,0,0.32,22.08,0,0,0.32,1.92,0.96
22Month,0,2.73,0.55,0.55,2.73,3.83,10.93,1.09,0.55,3.28,0,0,0.55,1.09,0.55,0.55,0.55,0,0,17.49,0,0,0,0,0.55
