stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,16.35,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,12.26,0,0,0,16.35,130.76,4.09,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,13.91,0,0,0,0,0,0,0,0,0,0,4.28,0,64.19,0,0,0,104.84,7.49,0,0,14.98,0,0,1.07,0,0,0,0,0
21Day,1.34,0,10.71,13.39,0,1.34,0,1.34,0,0,0,1.34,0,1.34,1.34,0,96.37,0,4.02,0,40.16,5.35,0,0,6.69,0,0,0,1.34,1.34,0,0,0
3Month,0,2.56,49.27,0,0.32,0,0.96,0.32,0,1.92,0.64,0,1.6,0,0,0.32,16.64,0.32,1.6,0.32,0.96,0,4.16,0.32,0,0.96,1.92,0,0,0,18.24,3.2,0.64
22Month,0,1.09,12.03,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0.55,0,0.55,0.55,0,0,0.55,1.09,0,0,0,0,0
