stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,16.35,0,28.6,0,0,0,0,0,0,0,0,0,4.09,0,4.09,57.21,0,0,0,0,24.52,380.04,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,11.77,0,11.77,1.07,0,0,0,0,0,0,0,0,0,8.56,1.07,38.51,0,1.07,0,0,50.28,39.58,0,0,26.74,0,0,7.49,0,1.07,0,0,0
21Day,4.02,8.03,0,46.85,1.34,0,0,0,0,0,0,0,1.34,1.34,6.69,1.34,49.53,0,0,6.69,0,22.76,17.4,0,0,20.08,6.69,0,5.35,2.68,0,0,0,0
3Month,0.32,17.92,0.96,33.91,0,0,0.64,0.96,3.2,0.64,39.35,2.24,3.84,3.84,14.4,2.88,10.56,2.88,0.32,0.32,0.96,0.64,0.96,0,0,0.32,0.96,7.68,0,0,0.32,2.88,0.32,1.28
22Month,0,19.13,0.55,8.2,0.55,0.55,0,1.09,2.73,3.83,85.28,1.64,4.37,1.09,4.92,2.19,13.67,0,0.55,0.55,0,0.55,0,0.55,0.55,0.55,1.09,2.73,0,0,0.55,0.55,0,2.73
