stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,4.28,0,0,0,0,1.07,0,0,0,1.07,3.21,0,1.07,0,0,7.49,9.63,0,0,2.14,0,0,1.07,2.14,0,0
21Day,1.34,1.34,0,6.69,1.34,0,1.34,0,5.35,0,0,2.68,0,1.34,1.34,0,14.72,5.35,12.05,0,0,0,0,16.06,4.02,0,0,8.03,0,0,0,1.34,0,1.34
3Month,0,1.6,0.64,11.84,0,0.32,0,3.2,38.71,0,0,9.92,8.64,0.96,4.48,0.96,4.16,14.08,2.56,0.32,0,2.56,0.32,1.6,0,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0.64,8.32
22Month,0.55,3.83,0.55,2.73,0,1.64,0.55,1.64,29.52,1.64,0,14.76,2.73,1.09,6.01,0,0,8.2,1.09,0,1.09,1.64,0,0,0,1.64,1.64,0,0,0,0,0,0,3.83
