stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.95,25.67,0,0,2.14,0,0,3.21,2.14,1.07,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,5.35,0,0,0,5.35,4.02,0,0,0,0,0,4.02,1.34,0,1.34,0,0,0
3Month,1.92,6.4,0,0.64,0.32,0,3.84,0.64,0,1.6,1.6,1.28,3.84,3.2,0.32,0.32,0.64,1.28,0,2.56,0.32,0,0.64,26.56,0.96,0,0,1.28,0.32,56.95,0.96
22Month,0.55,4.92,0,0,0.55,0.55,10.39,0.55,0.55,2.73,0,0,2.73,0.55,0,0,0,0,0,2.19,0,0,0,6.01,0.55,1.09,0,0,0,0,0.55
