stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,28.6,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,1.07,3.21,0,1.07,0,55.63,2.14,1.07,2.14,3.21,0,0,5.35,0,0
21Day,0,1.34,1.34,0,1.34,0,0,1.34,0,0,1.34,1.34,26.77,2.68,0,1.34,0,0,0,1.34,0,4.02
3Month,0.32,0.32,0.32,0,3.52,0.64,0.64,0.64,1.28,0,0,0,0,0,0,0,0,0.32,2.24,0,0,0.32
22Month,0,0,0,0,4.37,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,1.09,0,0.55,1.09
