stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,155.28,0,0,0,0,0,0,0,8.17,0,0,0,0,32.69,0,0,4.09,0,0,0,0,0
72hpf,0,0,9.63,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,17.12,33.16,0,0,2.14,0,0,0,0,0
21Day,0,0,6.69,1.34,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,4.02,5.35,0,0,6.69,0,0,0,0,0
3Month,0,0.64,54.39,0,0,0.64,0,96.94,1.6,0,0,8.64,1.6,0,4.8,0.96,0.64,1.92,3.84,0.64,0,0,0,0,0,0,0,1.28,4.48,0.96,3.2,2.24
22Month,1.64,0.55,12.03,0.55,0,0.55,0.55,37.17,3.28,0.55,0,49.2,1.64,0.55,6.56,0,0.55,0.55,2.73,0,0.55,1.09,0.55,0,2.19,0.55,0,0,4.37,0,0,1.09
