stage,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,6.42,0,0,2.14,1.07,1.07,0
21Day,0,0,0,1.34,0,0,1.34,0,1.34,2.68,6.69,0,0
3Month,0.32,0.64,0.64,0,0.32,0.32,0.32,0.32,2.88,0.32,0,0,19.2
22Month,0,2.19,0,0,0,0,0,0,4.37,0,0,0,0
